"Rank","Geographic Area","Census_2010","Estimates Base","Jul_1_2010","Jul_1_2011","Jul_1_2012","Jul_1_2013","Jul_1_2014","Jul_1_2015","Jul_1_2016","Jul_1_2017","Jul_1_2018","Jul_1_2019","latitude","longitude"
636,"Bradenton city, Florida","49,546",49273,49310,49642,50207,51175,52253,53838,55048,56686,57601,59439,27.4989278,-82.5748194
636,"Vineland city, New Jersey","60,724",60734,60820,60984,60921,60874,60887,60583,60312,59862,59856,59439,39.4862777,-75.0254256
638,"Pontiac city, Michigan","59,515",59695,59687,59913,60299,60448,60466,60260,60224,60123,59741,59438,42.6389216,-83.2910468
639,"Meriden city, Connecticut","60,868",60825,60832,60699,60672,60491,60384,60063,59708,59646,59566,59395,41.5378215,-72.8003388004317
640,"Gardena city, California","58,829",58829,58835,59114,59368,59788,59843,59946,59873,59871,59540,59329,33.8963593,-118.3053037
641,"Apex town, North Carolina","37,476",37727,37991,38999,40659,42388,44064,45652,47543,50524,53859,59300,35.6719416,-78.9408262167706
642,"Royal Oak city, Michigan","57,236",57232,57260,57697,58139,58562,58763,58750,59226,59374,59356,59277,42.4894801,-83.1446485
643,"Cupertino city, California","58,302",58559,58689,59172,59769,60198,60592,60519,60900,60588,60004,59276,37.3228934,-122.0322895
644,"Lancaster city, Pennsylvania","59,322",59263,59277,59417,59406,59397,59411,59446,59486,59494,59407,59265,40.03813,-76.3056686
645,"La Mesa city, California","57,065",57016,57149,57644,58099,58556,58855,59697,59751,59722,59389,59249,32.7678288,-117.0230839
646,"Gilroy city, California","48,821",48879,49006,49700,50718,51893,52538,53259,55369,57549,58588,59032,37.0065078,-121.5631723
647,"St. Clair Shores city, Michigan","59,715",59765,59767,59799,59986,60183,60085,59912,59788,59657,59282,58984,42.4969652,-82.8890965
648,"Des Plaines city, Illinois","58,364",58383,58454,58725,58978,59112,59104,58811,58430,58078,58854,58899,42.0415823,-87.8873916
649,"Springfield city, Ohio","60,608",60563,60531,60267,60079,59872,59730,59449,58906,59168,59263,58877,39.9234046,-83.810138
650,"Corvallis city, Oregon","54,462",54494,54401,54730,55139,54710,55517,56375,57327,58546,58969,58856,44.5645659,-123.2620435
651,"Margate city, Florida","53,284",53120,53242,54190,54820,55256,55664,56741,57832,58200,58495,58796,26.2445263,-80.206436
652,"Bowie city, Maryland","54,727",55296,55458,56000,56574,57102,57750,58225,58431,58563,58610,58643,38.9424464,-76.7301718
653,"Casa Grande city, Arizona","48,571",48564,48955,48904,49453,49777,51362,52687,54247,55695,57019,58632,32.8795022,-111.7573521
654,"Caldwell city, Idaho","46,237",46346,46535,47271,47708,48964,50122,51543,53106,54738,56478,58481,43.6678736,-116.6894156
655,"San Rafael city, California","57,713",57698,57797,58232,58448,58995,59130,59074,58918,58801,58704,58440,37.9735346,-122.5310874
656,"Great Falls city, Montana","58,505",59121,59243,59411,59284,59549,59359,59281,58915,58879,58751,58434,47.5048851,-111.29189
657,"Sarasota city, Florida","51,917",52107,52219,52527,52954,53149,54015,54956,56440,57185,57746,58285,27.3364347,-82.5306527
658,"Richland city, Washington","48,058",48491,48876,50622,51767,52549,53248,54412,55095,56656,57533,58225,37.945218,-87.166167
659,"St. Peters city, Missouri","52,575",52595,52796,53414,54062,54825,56012,56742,57159,57179,57123,58212,38.791612,-90.5958468
